SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,August-17-2020,Condo/Co-op,1 E University Pkwy #410,Baltimore,MD,21218,92000,1,1.0,Ward 12,891,,1965,,103,711,Sold,,,https://www.redfin.com/MD/Baltimore/1-E-University-Pkwy-21218/unit-410/home/10854014,BRIGHT MLS,MDBA511232,N,Y,39.3313784,-76.6169047
PAST SALE,December-8-2020,Condo/Co-op,1 Suntop Ct #203,Baltimore,MD,21209,92000,1,1.0,ROCKLAND RUN,730,,1975,,126,220,Sold,,,https://www.redfin.com/MD/Baltimore/1-Suntop-Ct-21209/unit-203/home/9544068,BRIGHT MLS,MDBC515058,N,Y,39.3871614,-76.6658499
PAST SALE,August-31-2020,Condo/Co-op,4100 N Charles St #911,Baltimore,MD,21218,170000,1,1.0,Ward 12,1082,,1977,,157,760,Sold,,,https://www.redfin.com/MD/Baltimore/4100-N-Charles-St-21218/unit-911/home/10838574,BRIGHT MLS,MDBA515716,N,Y,39.3390005,-76.6191035
PAST SALE,,Condo/Co-op,1 E University Pkwy #408,Baltimore,MD,21218,95000,,,,826,,1965,,115,,,,,https://www.redfin.com/MD/Baltimore/1-E-University-Pkwy-21218/unit-408/home/10854010,,,N,Y,39.3313784,-76.6169047
PAST SALE,,Condo/Co-op,1 E University Pkwy #508,Baltimore,MD,21218,35000,,,,827,,1965,,42,,,,,https://www.redfin.com/MD/Baltimore/1-E-University-Pkwy-21218/unit-508/home/10854033,,,N,Y,39.3313784,-76.6169047
PAST SALE,September-25-2020,Condo/Co-op,1 E University Pkwy #310,Baltimore,MD,21218,75000,1,1.0,Ward 12,889,,1965,,84,711,Sold,,,https://www.redfin.com/MD/Baltimore/1-E-University-Pkwy-21218/unit-310/home/10853981,BRIGHT MLS,MDBA520894,N,Y,39.3313784,-76.6169047
PAST SALE,March-14-2022,Condo/Co-op,200 Cross Keys Rd Unit R52,Baltimore,MD,21210,168700,1,1.0,Ward 27,901,,1970,,187,413,Sold,,,https://www.redfin.com/MD/Baltimore/200-Cross-Keys-Rd-21210/unit-R52/home/11162156,BRIGHT MLS,MDBA2031246,N,Y,39.3594606,-76.6483366
PAST SALE,September-9-2021,Condo/Co-op,1702 Mount Washington Ct Unit M,Baltimore,MD,21209,148000,1,2.0,Ward 27,1150,,1980,,129,328,Sold,,,https://www.redfin.com/MD/Baltimore/1702-Mt-Washington-Ct-21209/unit-M/home/11165658,BRIGHT MLS,MDBA2001614,N,Y,39.3623411,-76.65148
PAST SALE,October-8-2021,Condo/Co-op,1101 Saint Paul St #811,Baltimore,MD,21202,124900,1,1.0,Ward 11,791,,1965,,158,350,Sold,,,https://www.redfin.com/MD/Baltimore/1101-St-Paul-St-21202/unit-811/home/10834737,BRIGHT MLS,MDBA2010546,N,Y,39.3026522,-76.6140583
PAST SALE,September-3-2021,Condo/Co-op,15 Suntop Ct Unit T-2,Baltimore,MD,21209,115000,1,1.0,ROCKLAND RUN,906,,1973,,127,210,Sold,,,https://www.redfin.com/MD/Baltimore/15-Suntop-Ct-21209/unit-T2/home/9543960,BRIGHT MLS,MDBC2006918,N,Y,39.3870553,-76.6660421
PAST SALE,December-2-2020,Condo/Co-op,117 Cross Keys Rd Unit R117F,Baltimore,MD,21210,147000,1,1.0,Ward 27,821,,1973,,179,407,Sold,,,https://www.redfin.com/MD/Baltimore/117-Cross-Keys-Rd-21210/unit-R117F/home/11162340,BRIGHT MLS,MDBA517176,N,Y,39.3594385,-76.6467597
PAST SALE,,Condo/Co-op,4401 Roland Ave #509,Baltimore,MD,21210,85000,,,,902,,,,94,,,,,https://www.redfin.com/MD/Baltimore/4401-Roland-Ave-21210/unit-509/home/11156589,,,N,Y,39.3433409,-76.6344573
PAST SALE,,Condo/Co-op,1 E University Pkwy #509,Baltimore,MD,21218,70000,,,,535,,1965,,131,,,,,https://www.redfin.com/MD/Baltimore/1-E-University-Pkwy-21218/unit-509/home/10854035,,,N,Y,39.3313784,-76.6169047
