,SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE,ClosestHospital,ClosestGrocery,ClosestParks,ClosestWhole
0,PAST SALE,,Townhouse,2204 Clifton Ave,Baltimore,MD,21216,41000,,,,,1400.0,1920.0,,,,,,,https://www.redfin.com/MD/Baltimore/2204-Clifton-Ave-21216/home/10899551,,,N,Y,39.3119351,-76.653488,3.3638514352346576,2.2789362887820266,1.5823755722014976,3.338943242298237
1,PAST SALE,,Townhouse,1520 N Broadway,Baltimore,MD,21213,76000,,1.0,,1072.0,1388.0,1915.0,,71.0,,,,,https://www.redfin.com/MD/Baltimore/1520-N-Broadway-21213/home/10784027,,,N,Y,39.3079385,-76.595108,1.2145974489615348,2.067144375009979,1.5199665226995642,1.3533269692395782
2,PAST SALE,,Townhouse,936 Bennett Pl,Baltimore,MD,21223,76500,,,,,1050.0,1920.0,,,,,,,https://www.redfin.com/MD/Baltimore/936-Bennett-Pl-21223/home/10952949,,,N,Y,39.295137,-76.6333472,1.0786870263806494,0.8970287798756659,0.939819099589293,3.2026652724474083
3,PAST SALE,March-28-2022,Townhouse,2330 Madison Ave,Baltimore,MD,21217,169000,0.0,,Ward 13,2682.0,1800.0,1902.0,,63.0,,Sold,,,https://www.redfin.com/MD/Baltimore/2330-Madison-Ave-21217/home/10866435,BRIGHT MLS,MDBA2030782,N,Y,39.3121965,-76.6377627,2.1075501435347186,1.2549008365987286,0.5478026449851356,2.6831220036388537
4,PAST SALE,December-20-2021,Townhouse,1128 Mckean Ave,Baltimore,MD,21217,9000,0.0,,Ward 16,,,1920.0,,,,Sold,,,https://www.redfin.com/MD/Baltimore/1128-McKean-Ave-21217/home/10926715,BRIGHT MLS,MDBA2010692,N,Y,39.3018029,-76.6470357,2.4497872241093805,1.4842990550368305,1.925392041024802,3.790266504415501
5,PAST SALE,April-22-2022,Townhouse,3410 W Franklin St,Baltimore,MD,21229,40700,0.0,,Ward 20,1360.0,1500.0,1925.0,,30.0,,Sold,,,https://www.redfin.com/MD/Baltimore/3410-W-Franklin-St-21229/home/10989366,BRIGHT MLS,MDBA2036924,N,Y,39.2929081,-76.6748957,2.3447502037829557,3.5362616013354042,3.155216003860657,6.138402679649911
6,PAST SALE,,Townhouse,129 N Belnord Ave,Baltimore,MD,21224,85000,,1.5,,1458.0,784.0,1920.0,,58.0,,,,,https://www.redfin.com/MD/Baltimore/129-N-Belnord-Ave-21224/home/10761255,,,N,Y,39.2940633,-76.578296,1.0832874788404234,2.176740213435124,0.5111632663184635,2.1681707089377715
7,PAST SALE,March-18-2022,Multi-Family (2-4 Unit),1133 Harlem Ave,Baltimore,MD,21217,110000,,,Ward 16,,,1920.0,,,,Sold,,,https://www.redfin.com/MD/Baltimore/1133-Harlem-Ave-21217/home/10936077,BRIGHT MLS,MDBA2019534,N,Y,39.2965748,-76.6368602,1.4059529486931288,0.9135259273035422,1.2420671002935433,3.3554480176397523
8,PAST SALE,,Townhouse,938 Bennett Pl,Baltimore,MD,21223,82000,,,,,1050.0,1920.0,,,,,,,https://www.redfin.com/MD/Baltimore/938-Bennett-Pl-21223/home/10952947,,,N,Y,39.2950944,-76.6333855,1.0774583309995902,0.9026027099695927,0.9434958874781122,3.203749894273457
9,PAST SALE,,Townhouse,1118 S Carey St,Baltimore,MD,21223,65000,,1.0,,1540.0,980.0,1900.0,,42.0,,,,,https://www.redfin.com/MD/Baltimore/1118-S-Carey-St-21223/home/10999498,,,N,Y,39.2809451,-76.6360931,1.2473454330024678,0.39641085674644516,0.633484494179191,3.17285251286333
