SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,,Townhouse,2204 Clifton Ave,Baltimore,MD,21216,41000,,,,,1400,1920,,,,,,,https://www.redfin.com/MD/Baltimore/2204-Clifton-Ave-21216/home/10899551,,,N,Y,39.3119351,-76.653488
PAST SALE,,Townhouse,1520 N Broadway,Baltimore,MD,21213,76000,,1,,1072,1388,1915,,71,,,,,https://www.redfin.com/MD/Baltimore/1520-N-Broadway-21213/home/10784027,,,N,Y,39.3079385,-76.595108
PAST SALE,,Townhouse,936 Bennett Pl,Baltimore,MD,21223,76500,,,,,1050,1920,,,,,,,https://www.redfin.com/MD/Baltimore/936-Bennett-Pl-21223/home/10952949,,,N,Y,39.295137,-76.6333472
PAST SALE,March-28-2022,Townhouse,2330 Madison Ave,Baltimore,MD,21217,169000,0,,Ward 13,2682,1800,1902,,63,,Sold,,,https://www.redfin.com/MD/Baltimore/2330-Madison-Ave-21217/home/10866435,BRIGHT MLS,MDBA2030782,N,Y,39.3121965,-76.6377627
PAST SALE,December-20-2021,Townhouse,1128 Mckean Ave,Baltimore,MD,21217,9000,0,,Ward 16,,,1920,,,,Sold,,,https://www.redfin.com/MD/Baltimore/1128-McKean-Ave-21217/home/10926715,BRIGHT MLS,MDBA2010692,N,Y,39.3018029,-76.6470357
PAST SALE,April-22-2022,Townhouse,3410 W Franklin St,Baltimore,MD,21229,40700,0,,Ward 20,1360,1500,1925,,30,,Sold,,,https://www.redfin.com/MD/Baltimore/3410-W-Franklin-St-21229/home/10989366,BRIGHT MLS,MDBA2036924,N,Y,39.2929081,-76.6748957
PAST SALE,,Townhouse,129 N Belnord Ave,Baltimore,MD,21224,85000,,1.5,,1458,784,1920,,58,,,,,https://www.redfin.com/MD/Baltimore/129-N-Belnord-Ave-21224/home/10761255,,,N,Y,39.2940633,-76.578296
PAST SALE,March-18-2022,Multi-Family (2-4 Unit),1133 Harlem Ave,Baltimore,MD,21217,110000,,,Ward 16,,,1920,,,,Sold,,,https://www.redfin.com/MD/Baltimore/1133-Harlem-Ave-21217/home/10936077,BRIGHT MLS,MDBA2019534,N,Y,39.2965748,-76.6368602
PAST SALE,,Townhouse,938 Bennett Pl,Baltimore,MD,21223,82000,,,,,1050,1920,,,,,,,https://www.redfin.com/MD/Baltimore/938-Bennett-Pl-21223/home/10952947,,,N,Y,39.2950944,-76.6333855
PAST SALE,,Townhouse,1118 S Carey St,Baltimore,MD,21223,65000,,1,,1540,980,1900,,42,,,,,https://www.redfin.com/MD/Baltimore/1118-S-Carey-St-21223/home/10999498,,,N,Y,39.2809451,-76.6360931
PAST SALE,April-6-2021,Townhouse,810 N Streeper St,Baltimore,MD,21205,17000,0,2,Ward 7,,,1920,,,,Sold,,,https://www.redfin.com/MD/Baltimore/810-N-Streeper-St-21205/home/10776436,BRIGHT MLS,MDBA531274,N,Y,39.3005795,-76.5776413
PAST SALE,January-12-2022,Townhouse,1203 N Fulton Ave,Baltimore,MD,21217,41800,0,,Ward 16,,1200,1920,,,,Sold,,,https://www.redfin.com/MD/Baltimore/1203-N-Fulton-Ave-21217/home/10926469,BRIGHT MLS,MDBA2013618,N,Y,39.3030225,-76.6457046
PAST SALE,,Townhouse,2423 Reisterstown Rd,Baltimore,MD,21217,156000,,2.5,,5680,3800,1920,,27,,,,,https://www.redfin.com/MD/Baltimore/2423-Reisterstown-Rd-21217/home/10863762,,,N,Y,39.3163988,-76.6496994
PAST SALE,March-23-2022,Townhouse,430 S Smallwood St,Baltimore,MD,21223,17500,0,,Ward 20,910,,1920,,19,,Sold,,,https://www.redfin.com/MD/Baltimore/430-S-Smallwood-St-21223/home/10979594,BRIGHT MLS,MDBA2026016,N,Y,39.2822535,-76.6512771
PAST SALE,April-8-2022,Townhouse,2835 Presbury St,Baltimore,MD,21216,23100,0,,Ward 15,,,1920,,,,Sold,,,https://www.redfin.com/MD/Baltimore/2835-Presbury-St-21216/home/10888974,BRIGHT MLS,MDBA2035158,N,Y,39.3070572,-76.6650721
PAST SALE,September-17-2021,Townhouse,543 E 23rd St,Baltimore,MD,21218,25000,0,,Ward 9,,,1924,,,,Sold,,,https://www.redfin.com/MD/Baltimore/543-E-23rd-St-21218/home/10809438,BRIGHT MLS,MDBA2006988,N,Y,39.3152759,-76.6083149
PAST SALE,November-19-2021,Townhouse,1824 N Chapel St,Baltimore,MD,21213,18700,0,,Ward 8,,660,1913,,,,Sold,,,https://www.redfin.com/MD/Baltimore/1824-N-Chapel-St-21213/home/10781770,BRIGHT MLS,MDBA2008178,N,Y,39.3116173,-76.5911395
PAST SALE,,Townhouse,2020 E Preston St,Baltimore,MD,21213,68000,,1,,650,910,1915,,105,,,,,https://www.redfin.com/MD/Baltimore/2020-E-Preston-St-21213/home/10786495,,,N,Y,39.3057212,-76.5894241
PAST SALE,,Townhouse,2729 Jefferson St,Baltimore,MD,21205,50000,,2,,1540,1050,1920,,32,,,,,https://www.redfin.com/MD/Baltimore/2729-Jefferson-St-21205/home/10752742,,,N,Y,39.2966751,-76.5780376
PAST SALE,June-29-2020,Townhouse,215 Scott St,Baltimore,MD,21230,80000,0,,Ward 21,1040,1,1900,,77,,Sold,,,https://www.redfin.com/MD/Baltimore/215-Scott-St-21230/home/10996055,BRIGHT MLS,MDBA515210,N,Y,39.2855359,-76.628805
PAST SALE,March-16-2022,Townhouse,1403 Race St,Baltimore,MD,21230,80000,0,,Ward 23,1008,,1900,,79,,Sold,,,https://www.redfin.com/MD/Baltimore/1403-Race-St-21230/home/11010474,BRIGHT MLS,MDBA2037270,N,Y,39.2732098,-76.6167325
PAST SALE,January-11-2022,Townhouse,2016 Etting St,Baltimore,MD,21217,12000,0,,Ward 14,,660,1920,,,,Sold,,,https://www.redfin.com/MD/Baltimore/2016-Etting-St-21217/home/10878024,BRIGHT MLS,MDBA2018650,N,Y,39.3073527,-76.6364033
PAST SALE,,Townhouse,2207 Allendale Rd,Baltimore,MD,21216,122000,,2,,1800,3600,1920,,68,,,,,https://www.redfin.com/MD/Baltimore/2207-Allendale-Rd-21216/home/10913745,,,N,Y,39.3131418,-76.6797339
PAST SALE,,Townhouse,2125 Federal St,Baltimore,MD,21213,80000,,1,,647,914,1900,,124,,,,,https://www.redfin.com/MD/Baltimore/2125-Federal-St-21213/home/10792804,,,N,Y,39.3086527,-76.5877538
PAST SALE,December-10-2020,Townhouse,2922 Edmondson Ave,Baltimore,MD,21223,16500,0,2,Ward 16,,1420,1920,,,,Sold,,,https://www.redfin.com/MD/Baltimore/2922-Edmondson-Ave-21223/home/10944993,BRIGHT MLS,MDBA527816,N,Y,39.2946009,-76.6656247
PAST SALE,December-22-2021,Townhouse,1904 E 28th St,Baltimore,MD,21218,47500,0,,Ward 9,,1314,1918,,,,Sold,,,https://www.redfin.com/MD/Baltimore/1904-E-28th-St-21218/home/10820650,BRIGHT MLS,MDBA2019376,N,Y,39.3240556,-76.589379
PAST SALE,February-22-2022,Townhouse,3905 Orleans St,Baltimore,MD,21224,41250,0,,Ward 26,880,1400,1920,,47,,Sold,,,https://www.redfin.com/MD/Baltimore/3905-Orleans-St-21224/home/11086015,BRIGHT MLS,MDBA2019134,N,Y,39.296092,-76.564437
PAST SALE,March-12-2021,Townhouse,1568 Richland St,Baltimore,MD,21217,13500,0,,Ward 13,572,,1920,,24,,Sold,,,https://www.redfin.com/MD/Baltimore/1568-Richland-St-21217/home/10864175,BRIGHT MLS,MDBA537278,N,Y,39.3132532,-76.6455601
PAST SALE,July-28-2021,Townhouse,1203 N Caroline St,Baltimore,MD,21213,100000,0,,Ward 8,,,1920,,,,Sold,,,https://www.redfin.com/MD/Baltimore/1203-N-Caroline-St-21213/home/10785251,BRIGHT MLS,MDBA550232,N,Y,39.304319,-76.5977075
